Transaction ID,Country,City,Product Category,Revenue,Units Sold,Profit Margin,Transaction Date,Employee ID,Customer Segment,Order Priority,Sales Channel
T000001,Belgium,Antwerp,Sports,101.46,35,0.18,2023-10-25,E8188,Retail,Low,Offline
T000002,Germany,Frankfurt,Apparel,854.67,59,0.06,2023-02-04,E3625,Small Business,Low,Online
T000003,France,Paris,Electronics,562.43,6,0.27,2023-03-27,E7914,Corporate,Medium,Online
T000004,Norway,Trondheim,Apparel,837.43,56,0.06,2023-09-08,E5592,Corporate,High,Offline
T000005,United Kingdom,Manchester,Sports,757.2,81,0.11,2023-01-11,E6070,Small Business,High,Offline
T000006,Germany,Frankfurt,Toys,752.98,3,0.16,2023-01-12,E6998,Small Business,High,Offline
T000007,Norway,Bergen,Home Goods,57.64,61,0.09,2023-01-21,E4765,Corporate,Medium,Offline
T000008,Belgium,Ghent,Apparel,127.11,59,0.05,2023-03-26,E2060,Corporate,Low,Offline
T000009,Belgium,Antwerp,Sports,58.78,21,0.24,2023-08-10,E3513,Corporate,Medium,Online
T000010,Germany,Berlin,Home Goods,153.39,38,0.14,2023-11-18,E3103,Corporate,High,Online
T000011,Spain,Madrid,Apparel,986.06,8,0.07,2023-03-25,E1298,Corporate,High,Offline
T000012,France,Lyon,Home Goods,168.25,75,0.16,2023-09-29,E5729,Corporate,High,Online
T000013,France,Paris,Toys,869.96,72,0.27,2023-04-07,E6015,Retail,Low,Online
T000014,Germany,Berlin,Home Goods,999.58,86,0.21,2023-10-27,E2294,Corporate,Medium,Offline
T000015,Belgium,Ghent,Toys,759.49,59,0.21,2023-02-18,E4646,Small Business,Low,Online
T000016,Spain,Barcelona,Electronics,315.27,77,0.29,2023-10-27,E8391,Small Business,Low,Online
T000017,Netherlands,Rotterdam,Sports,438.91,78,0.07,2023-07-13,E2606,Retail,Medium,Offline
T000018,Denmark,Aarhus,Electronics,405.53,92,0.1,2023-11-16,E2433,Corporate,Low,Online
T000019,United Kingdom,Birmingham,Apparel,991.65,44,0.27,2023-09-02,E7258,Small Business,Low,Online
T000020,Netherlands,Rotterdam,Apparel,455.18,18,0.16,2023-09-12,E8640,Retail,High,Online
T000021,Norway,Trondheim,Apparel,837.45,11,0.27,2023-11-21,E8876,Retail,Low,Offline
T000022,United Kingdom,Birmingham,Home Goods,475.58,100,0.07,2023-12-28,E6396,Small Business,High,Offline
T000023,Netherlands,The Hague,Toys,67.26,28,0.23,2023-04-24,E2328,Small Business,Medium,Offline
T000024,Italy,Rome,Electronics,369.06,44,0.24,2023-01-17,E1324,Corporate,Low,Online
T000025,Netherlands,The Hague,Toys,863.15,35,0.24,2023-06-11,E6667,Small Business,High,Offline
T000026,Germany,Berlin,Toys,639.04,67,0.26,2023-10-15,E9543,Retail,Low,Offline
T000027,United Kingdom,Birmingham,Apparel,529.43,92,0.12,2023-07-06,E5433,Corporate,High,Online
T000028,Denmark,Copenhagen,Electronics,715.76,13,0.18,2023-11-30,E2596,Small Business,Low,Online
T000029,Belgium,Brussels,Electronics,408.56,65,0.16,2023-07-26,E4912,Retail,Medium,Offline
